"Column1","Location","Period","Indicator","Count"
5,Afghanistan,2009,"Nursing and midwifery personnel (per 10,000)",6.08
6,Afghanistan,2008,"Nursing and midwifery personnel (per 10,000)",4.97
7,Afghanistan,2007,"Nursing and midwifery personnel (per 10,000)",4.96
14,Albania,2010,"Nursing and midwifery personnel (per 10,000)",40.18
15,Albania,2009,"Nursing and midwifery personnel (per 10,000)",41.89
16,Albania,2007,"Nursing and midwifery personnel (per 10,000)",42.01
36,Algeria,2007,"Nursing and midwifery personnel (per 10,000)",19.29
39,Andorra,2009,"Nursing and midwifery personnel (per 10,000)",36.81
40,Andorra,2007,"Nursing and midwifery personnel (per 10,000)",33.86
54,Angola,2009,"Nursing and midwifery personnel (per 10,000)",13.14
79,Armenia,2010,"Nursing and midwifery personnel (per 10,000)",52.4
80,Armenia,2009,"Nursing and midwifery personnel (per 10,000)",51.8
81,Armenia,2008,"Nursing and midwifery personnel (per 10,000)",51.98
82,Armenia,2007,"Nursing and midwifery personnel (per 10,000)",51.42
98,Australia,2009,"Nursing and midwifery personnel (per 10,000)",107.5
99,Australia,2008,"Nursing and midwifery personnel (per 10,000)",102.6
100,Australia,2007,"Nursing and midwifery personnel (per 10,000)",101.6
113,Austria,2010,"Nursing and midwifery personnel (per 10,000)",67.21
114,Austria,2009,"Nursing and midwifery personnel (per 10,000)",66.73
116,Austria,2007,"Nursing and midwifery personnel (per 10,000)",64.12
138,Azerbaijan,2010,"Nursing and midwifery personnel (per 10,000)",73.51
141,Azerbaijan,2007,"Nursing and midwifery personnel (per 10,000)",82.34
162,Bahamas,2008,"Nursing and midwifery personnel (per 10,000)",40.47
170,Bahrain,2009,"Nursing and midwifery personnel (per 10,000)",25.23
171,Bahrain,2008,"Nursing and midwifery personnel (per 10,000)",25.62
186,Bangladesh,2010,"Nursing and midwifery personnel (per 10,000)",1.83
187,Bangladesh,2009,"Nursing and midwifery personnel (per 10,000)",1.71
188,Bangladesh,2008,"Nursing and midwifery personnel (per 10,000)",1.62
205,Belarus,2009,"Nursing and midwifery personnel (per 10,000)",105.0
206,Belarus,2008,"Nursing and midwifery personnel (per 10,000)",103.7
207,Belarus,2007,"Nursing and midwifery personnel (per 10,000)",101.0
233,Belgium,2010,"Nursing and midwifery personnel (per 10,000)",100.9
234,Belgium,2009,"Nursing and midwifery personnel (per 10,000)",98.82
236,Belgium,2007,"Nursing and midwifery personnel (per 10,000)",96.54
247,Belize,2009,"Nursing and midwifery personnel (per 10,000)",18.11
254,Benin,2010,"Nursing and midwifery personnel (per 10,000)",4.52
255,Benin,2008,"Nursing and midwifery personnel (per 10,000)",8.2
264,Bhutan,2008,"Nursing and midwifery personnel (per 10,000)",9.92
265,Bhutan,2007,"Nursing and midwifery personnel (per 10,000)",8.2
273,Bolivia (Plurinational State of),2007,"Nursing and midwifery personnel (per 10,000)",6.08
283,Bosnia and Herzegovina,2010,"Nursing and midwifery personnel (per 10,000)",54.87
284,Bosnia and Herzegovina,2009,"Nursing and midwifery personnel (per 10,000)",53.1
286,Bosnia and Herzegovina,2007,"Nursing and midwifery personnel (per 10,000)",50.22
302,Botswana,2010,"Nursing and midwifery personnel (per 10,000)",29.27
304,Botswana,2008,"Nursing and midwifery personnel (per 10,000)",29.32
305,Botswana,2007,"Nursing and midwifery personnel (per 10,000)",30.74
321,Brazil,2010,"Nursing and midwifery personnel (per 10,000)",14.67
322,Brazil,2008,"Nursing and midwifery personnel (per 10,000)",9.3
323,Brazil,2007,"Nursing and midwifery personnel (per 10,000)",9.39
348,Brunei Darussalam,2010,"Nursing and midwifery personnel (per 10,000)",74.81
