"Location","Period","Indicator","Count"
Australia,2009,"Nursing and midwifery personnel (per 10,000)",107.5
Australia,2008,"Nursing and midwifery personnel (per 10,000)",102.6
Australia,2007,"Nursing and midwifery personnel (per 10,000)",101.6
Belarus,2009,"Nursing and midwifery personnel (per 10,000)",105.0
Belarus,2008,"Nursing and midwifery personnel (per 10,000)",103.7
Belarus,2007,"Nursing and midwifery personnel (per 10,000)",101.0
Belgium,2010,"Nursing and midwifery personnel (per 10,000)",100.9
Denmark,2010,"Nursing and midwifery personnel (per 10,000)",101.0
Denmark,2009,"Nursing and midwifery personnel (per 10,000)",100.7
Finland,2010,"Nursing and midwifery personnel (per 10,000)",142.6
Finland,2009,"Nursing and midwifery personnel (per 10,000)",139.3
Finland,2008,"Nursing and midwifery personnel (per 10,000)",135.1
Finland,2007,"Nursing and midwifery personnel (per 10,000)",137.5
Germany,2010,"Nursing and midwifery personnel (per 10,000)",119.1
Germany,2008,"Nursing and midwifery personnel (per 10,000)",115.2
Germany,2007,"Nursing and midwifery personnel (per 10,000)",112.9
Iceland,2010,"Nursing and midwifery personnel (per 10,000)",152.2
Iceland,2009,"Nursing and midwifery personnel (per 10,000)",162.0
Iceland,2008,"Nursing and midwifery personnel (per 10,000)",160.1
Iceland,2007,"Nursing and midwifery personnel (per 10,000)",150.9
Ireland,2008,"Nursing and midwifery personnel (per 10,000)",128.4
Ireland,2007,"Nursing and midwifery personnel (per 10,000)",129.3
Japan,2010,"Nursing and midwifery personnel (per 10,000)",102.7
Luxembourg,2010,"Nursing and midwifery personnel (per 10,000)",113.9
Luxembourg,2009,"Nursing and midwifery personnel (per 10,000)",115.0
New Zealand,2010,"Nursing and midwifery personnel (per 10,000)",105.8
New Zealand,2009,"Nursing and midwifery personnel (per 10,000)",102.6
Norway,2009,"Nursing and midwifery personnel (per 10,000)",164.5
Norway,2008,"Nursing and midwifery personnel (per 10,000)",145.0
Norway,2007,"Nursing and midwifery personnel (per 10,000)",144.0
Sweden,2010,"Nursing and midwifery personnel (per 10,000)",117.5
Sweden,2009,"Nursing and midwifery personnel (per 10,000)",116.7
Sweden,2008,"Nursing and midwifery personnel (per 10,000)",116.6
Sweden,2007,"Nursing and midwifery personnel (per 10,000)",116.3
Switzerland,2010,"Nursing and midwifery personnel (per 10,000)",149.6
Switzerland,2008,"Nursing and midwifery personnel (per 10,000)",139.2
Switzerland,2007,"Nursing and midwifery personnel (per 10,000)",136.2
United States of America,2010,"Nursing and midwifery personnel (per 10,000)",125.9
Uzbekistan,2007,"Nursing and midwifery personnel (per 10,000)",108.7
Australia,2009,"Nursing and midwifery personnel (per 10,000)",107.5
Australia,2008,"Nursing and midwifery personnel (per 10,000)",102.6
Australia,2007,"Nursing and midwifery personnel (per 10,000)",101.6
Belarus,2009,"Nursing and midwifery personnel (per 10,000)",105.0
Belarus,2008,"Nursing and midwifery personnel (per 10,000)",103.7
Belarus,2007,"Nursing and midwifery personnel (per 10,000)",101.0
Belgium,2010,"Nursing and midwifery personnel (per 10,000)",100.9
Denmark,2010,"Nursing and midwifery personnel (per 10,000)",101.0
Denmark,2009,"Nursing and midwifery personnel (per 10,000)",100.7
Finland,2010,"Nursing and midwifery personnel (per 10,000)",142.6
Finland,2009,"Nursing and midwifery personnel (per 10,000)",139.3
Finland,2008,"Nursing and midwifery personnel (per 10,000)",135.1
Finland,2007,"Nursing and midwifery personnel (per 10,000)",137.5
Germany,2010,"Nursing and midwifery personnel (per 10,000)",119.1
Germany,2008,"Nursing and midwifery personnel (per 10,000)",115.2
Germany,2007,"Nursing and midwifery personnel (per 10,000)",112.9
Iceland,2010,"Nursing and midwifery personnel (per 10,000)",152.2
Iceland,2009,"Nursing and midwifery personnel (per 10,000)",162.0
Iceland,2008,"Nursing and midwifery personnel (per 10,000)",160.1
Iceland,2007,"Nursing and midwifery personnel (per 10,000)",150.9
Ireland,2008,"Nursing and midwifery personnel (per 10,000)",128.4
Ireland,2007,"Nursing and midwifery personnel (per 10,000)",129.3
Japan,2010,"Nursing and midwifery personnel (per 10,000)",102.7
Luxembourg,2010,"Nursing and midwifery personnel (per 10,000)",113.9
Luxembourg,2009,"Nursing and midwifery personnel (per 10,000)",115.0
New Zealand,2010,"Nursing and midwifery personnel (per 10,000)",105.8
New Zealand,2009,"Nursing and midwifery personnel (per 10,000)",102.6
Norway,2009,"Nursing and midwifery personnel (per 10,000)",164.5
Norway,2008,"Nursing and midwifery personnel (per 10,000)",145.0
Norway,2007,"Nursing and midwifery personnel (per 10,000)",144.0
Sweden,2010,"Nursing and midwifery personnel (per 10,000)",117.5
Sweden,2009,"Nursing and midwifery personnel (per 10,000)",116.7
Sweden,2008,"Nursing and midwifery personnel (per 10,000)",116.6
Sweden,2007,"Nursing and midwifery personnel (per 10,000)",116.3
Switzerland,2010,"Nursing and midwifery personnel (per 10,000)",149.6
Switzerland,2008,"Nursing and midwifery personnel (per 10,000)",139.2
Switzerland,2007,"Nursing and midwifery personnel (per 10,000)",136.2
United States of America,2010,"Nursing and midwifery personnel (per 10,000)",125.9
Uzbekistan,2007,"Nursing and midwifery personnel (per 10,000)",108.7
